"행정구역","2025년01월_총인구수","2025년01월_세대수","2025년01월_세대당 인구","2025년01월_남자 인구수","2025년01월_여자 인구수","2025년01월_남여 비율","2025년02월_총인구수","2025년02월_세대수","2025년02월_세대당 인구","2025년02월_남자 인구수","2025년02월_여자 인구수","2025년02월_남여 비율","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율","2025년04월_총인구수","2025년04월_세대수","2025년04월_세대당 인구","2025년04월_남자 인구수","2025년04월_여자 인구수","2025년04월_남여 비율","2025년05월_총인구수","2025년05월_세대수","2025년05월_세대당 인구","2025년05월_남자 인구수","2025년05월_여자 인구수","2025년05월_남여 비율","2025년06월_총인구수","2025년06월_세대수","2025년06월_세대당 인구","2025년06월_남자 인구수","2025년06월_여자 인구수","2025년06월_남여 비율","2025년07월_총인구수","2025년07월_세대수","2025년07월_세대당 인구","2025년07월_남자 인구수","2025년07월_여자 인구수","2025년07월_남여 비율"
"강원특별자치도 강릉시 (5115000000)","207,543","104,268","          1.99","102,789","104,754","          0.98","207,419","104,565","          1.98","102,740","104,679","          0.98","207,274","104,774","          1.98","102,731","104,543","          0.98","207,108","104,799","          1.98","102,617","104,491","          0.98","207,069","104,820","          1.98","102,586","104,483","          0.98","206,904","104,802","          1.97","102,483","104,421","          0.98","206,901","104,886","          1.97","102,461","104,440","          0.98"
"강원특별자치도 동해시 (5117000000)","87,571","43,611","          2.01","44,439","43,132","          1.03","87,305","43,641","          2.00","44,319","42,986","          1.03","87,138","43,601","          2.00","44,238","42,900","          1.03","86,997","43,549","          2.00","44,135","42,862","          1.03","86,931","43,532","          2.00","44,098","42,833","          1.03","86,854","43,546","          1.99","44,072","42,782","          1.03","86,796","43,520","          1.99","44,074","42,722","          1.03"
"강원특별자치도 태백시 (5119000000)","37,875","20,224","          1.87","19,140","18,735","          1.02","37,734","20,223","          1.87","19,059","18,675","          1.02","37,715","20,251","          1.86","19,071","18,644","          1.02","37,642","20,238","          1.86","19,038","18,604","          1.02","37,584","20,229","          1.86","19,018","18,566","          1.02","37,556","20,225","          1.86","19,001","18,555","          1.02","37,499","20,211","          1.86","18,948","18,551","          1.02"
"강원특별자치도 속초시 (5121000000)","80,754","41,209","          1.96","39,851","40,903","          0.97","80,556","41,183","          1.96","39,744","40,812","          0.97","80,372","41,161","          1.95","39,657","40,715","          0.97","80,265","41,118","          1.95","39,617","40,648","          0.97","80,141","41,125","          1.95","39,585","40,556","          0.98","80,101","41,150","          1.95","39,551","40,550","          0.98","80,119","41,184","          1.95","39,560","40,559","          0.98"
"강원특별자치도 삼척시 (5123000000)","61,464","33,459","          1.84","31,279","30,185","          1.04","61,236","33,389","          1.83","31,189","30,047","          1.04","61,552","33,792","          1.82","31,366","30,186","          1.04","61,485","33,784","          1.82","31,344","30,141","          1.04","61,428","33,753","          1.82","31,329","30,099","          1.04","61,311","33,687","          1.82","31,248","30,063","          1.04","61,110","33,540","          1.82","31,134","29,976","          1.04"
"강원특별자치도 홍천군 (5172000000)","66,661","34,905","          1.91","34,408","32,253","          1.07","66,528","34,893","          1.91","34,310","32,218","          1.06","66,485","34,904","          1.90","34,287","32,198","          1.06","66,422","34,921","          1.90","34,258","32,164","          1.07","66,424","35,004","          1.90","34,281","32,143","          1.07","66,412","35,002","          1.90","34,254","32,158","          1.07","66,390","35,038","          1.89","34,240","32,150","          1.07"
"강원특별자치도 횡성군 (5173000000)","46,037","24,039","          1.92","23,660","22,377","          1.06","45,977","24,041","          1.91","23,643","22,334","          1.06","45,995","24,065","          1.91","23,682","22,313","          1.06","46,010","24,078","          1.91","23,702","22,308","          1.06","45,962","24,058","          1.91","23,680","22,282","          1.06","45,870","24,068","          1.91","23,647","22,223","          1.06","45,823","24,065","          1.90","23,633","22,190","          1.07"
"강원특별자치도 영월군 (5175000000)","36,603","21,070","          1.74","18,918","17,685","          1.07","36,500","21,023","          1.74","18,878","17,622","          1.07","36,507","21,109","          1.73","18,905","17,602","          1.07","36,442","21,097","          1.73","18,893","17,549","          1.08","36,429","21,097","          1.73","18,898","17,531","          1.08","36,361","21,069","          1.73","18,871","17,490","          1.08","36,309","21,035","          1.73","18,843","17,466","          1.08"
"강원특별자치도 평창군 (5176000000)","40,305","22,054","          1.83","20,915","19,390","          1.08","40,189","22,024","          1.82","20,851","19,338","          1.08","40,090","21,993","          1.82","20,803","19,287","          1.08","40,038","21,997","          1.82","20,770","19,268","          1.08","40,011","22,016","          1.82","20,764","19,247","          1.08","39,963","21,982","          1.82","20,727","19,236","          1.08","39,911","21,969","          1.82","20,701","19,210","          1.08"
"강원특별자치도 정선군 (5177000000)","33,487","19,112","          1.75","17,467","16,020","          1.09","33,412","19,082","          1.75","17,431","15,981","          1.09","33,377","19,066","          1.75","17,396","15,981","          1.09","33,381","19,091","          1.75","17,398","15,983","          1.09","33,348","19,095","          1.75","17,379","15,969","          1.09","33,346","19,103","          1.75","17,395","15,951","          1.09","33,311","19,121","          1.74","17,380","15,931","          1.09"
